Project;Risk;Stakeholder;idx
assessing the operational efficiencies of 14 wind power plants in India over a four-year period (2016-2017 to 2019-2020) using data envelopment analysis and Tobit regression models.,none detected,policy regulators and stakeholders in the wind industry.,6725
None,Durability and reliability of RC structures| potential corrosion of rebars due to concrete carbonation and chloride attacks.,Concrete producers|,6726
Water transfer project,Change in objective trade-offs in multiobjective reservoir operation problems due to water transfer| potential reduction in water efficiency| and increased competition between industrial and agricultural water shortages.,Informed decision makers who need to consider efficient and beneficial water transfers in their operations.,6727
"Investigation of crack edge fracturing: In this project, the research",Crack edge fracturing: This refers to the wear and tear of industrial floor slabs due to repeated crossing of cracks with different widths. The probability of fracturing these crack edges was investigated in two research projects.,None,6728
"""We develop an approach to localize suitable locations for UMCs with the consideration of three criteria...""",None,"""Stakeholders such as logistics companies and cities should be involved at all levels of this approach to validate the selected criteria and depict the weight of each criterion.""",6729
Digital transformation: Highlighted (the relevance of the introduction of the digital economy in the modern system of relations between the state and society),Economic risks: Determined (occurrence of risks of both an economic and legal nature),Organization: Confirmed (the significance of applied projects for the development of an organization's,6730
"The present study focuses on the evaluation of agricultural drought risk from an integrated perspective, that is, emphasizing the combined role of hazard, exposure, and vulnerability to drought.",Drought is one of the major threats to water and food security in many regions around the world.,These results are in general agreement with those obtained by other,6731
Assembling travel packages| buying in advance all kind of tourism services (accommodation| seats in airplanes| food and beverage| entertainment)| selling and distributing them.,Globalization (operation at international scale)| tourism (bulk acquisition| responsibility for sale| competition with market and self).,Tour operators (TUI AG| Thomas Cooks Group,6732
Road transportation risk management,Hazmat road transportation accident| significance casualties| road network damage| threat to residents' lives and property.,Residents near the road| decision-makers responsible for reducing road transportation risk.,6733
mega-urban projects,None,state| market actors| and other relevant parties involved in the delivery of mega-urban projects (e.g.| citizens| community groups),6734
Investigation of dust concentration and tuberculosis infection in the Ib Valley Coalfield (Belpahar and Brajarajnagar area) over consecutive three years (2005| 2006| and 2007).,Dust concentration and dust dose associated with the rate of tuberculosis infection.,Residential places and min,6735
study of organizational citizenship behaviors (OCBs) and counterproductive work behaviors (CWBs) from multiple stakeholders' perspectives to identify asymmetric outcomes of these behaviors.,none detected,multiple stakeholders| including researchers| organization leaders| employees| customers| and society at large.,6736
None,Scarcity of environmental and health data| lack of understanding of processes and relationships involved| insufficient data for constructing accurate models.,Various groups involved in environmental health decision-making| including government agencies| research institutions| community,6737
None,None,None,6738
adapting to climate change| improving farming practices| managing water resources,drought| climate change| variable weather patterns,rural landholders| farmers| communities affected by climate change,6740
None,heavy precipitation| flooding| erosion| loss of crops| loss of forest quality| windthrow.,farmers| foresters| policymakers| insurance companies.,6741
Carbon Capture and Storage (CCS),High pressure pipeline transportation of CO,None,2
None,None,Scientific Community| Large Emission Points (e.g. Coal Fired Power Plants)| Field Experiments,6742
improving social and environmental performance within supply chains| developing an integrative model that combines supply chain configuration| stakeholder management| and capability development.,product toxicity problems| human rights violations,external stakeholders| including those who are exposed to social and environmental risks due to the company's activities.,6743
None,None,None,6744
None,None,None,6745
"Top three reasons for non-adoption of OPEX (found in the study): lack of leadership commitment, insufficient training, and lack of clear goals (in descending order)",Failure to adopt any form of OPEX methodology (15%),"Top five failure factors for sustaining OPEX initiatives in manufacturing, service",6746
Generation equipment| civil works| supply| assembly| responsibility,Construction| government| river| development| consortium| responsibility,Government| Brazilian-Soviet Consortium| constructor (Norberto Odebrecht S.A.)| supplier (Technopromexport),6747
"""managing the challenges associated with their software""","""challenges associated with their software""","""free/open source software users""",6748
"""supply the standardized services for the market""","""distrust in supervisor by the government and owners""","""supervisors""",6749
Development of policies aimed at sustainably using the sea and ocean resources through Integrated Coastal Zone Management of Venezuela at a state scale. This includes evalu,Environmental problems identified in the coastal zones (rectification); protection and restoration of the coastal zones (restore); improper decision-making actions (directed); offering a reference framework for coordinating environmental planning and capacitance (improve).,None,6750
MD-MSEA project,none detected,farmers| cotton growers| soil managers,6751
None,None,None,6752
None,ecotoxicological effects| environmental concentration| etc.,organisms| ecosystems| regulatory agencies| etc.,6753
Measuring the ecological footprint of a county-level transportation network in current and future time periods| estimating the quantity of land required for constructing county highways and remediating annual greenhouse gas emissions through forest carbon se,Limited availability of impact data at the local level of cities and counties| and inability to estimate the ecological footprint of future development scenarios.,None,6754
optimization of intervention programs| determination of optimal intervention program| investigation of trade-offs between simplified models and accuracy of cost and benefit estimates,failure| probability of occurrence| significant costs| budget constraints,railway infrastructure managers,6755
"Extraction of secondary gold from placer deposits (alluvial, colluvial or elluvial)",Degradation,WWF-Guianas,6757
Examining relations between temperamental fear and children's risky pedestrian behavior.,Children being struck by virtual vehicles due to delayed entry into traffic and shorter gaps between themselves and oncoming vehicles.,Parents reporting their child's temperamental fear.,6758
None,None,None,6760
None,"The phrase ""anticipated reductions in snow depth with climate warming"" suggests a potential risk to the ecosystem| such as changes in soil temperature and moisture levels| which could impact the rate of respiration and CO2 emission.",None,6761
nuclear power plant (NPP) projects| steel-plate composite (SC) walls,impact loadings| tornado-borne missiles| turbine-generated missiles| heavy load drops,analysis methodologies| dynamic analysis| nonlinear finite element models,6762
investigation| research| study,distraction| driver distraction| road safety,drivers,6763
None,None,None,6764
Investment combination| construction of 0-1 integer programming model,Negative entropy| classical NPV| real option,None (no mention of specific stakeholders),6765
None,none detected,None,6766
None,None,None,6767
Recovery of saugers in the Wind River Basin| Wyoming.,Monitoring fitness is challenging.,Stakeholders initiated a hatchery program to recover the population.,6768
Independent power projects| power sector development| privatization program| financing| key success factors.,Electricity industry capacity| government collaboration| non-recourse project financing| policy| power purchase| risk factors.,Government| private sector| investors| lenders| energy regulatory bodies| consumers.,6769
None,None,None,6770
FORWARD project,None,forest managers| hydrologic and water quality simulation modellers| field monitors,6771
Land reclamation| construction of roads| infrastructure| and buildings.,Low lying areas| wave overtopping| inundation during extreme high tides due to lack of protection.,Singapore Government| tourists| residents| environmental groups| developers.,6772
development of a chiral residual analysis method for PYR with its metabolites in five soils using ultra performance liquid chromatography-tandem mass spectrometry (UPLC-MS/MS).,higher organic matter content and bigger soil particle size were conducive to the degradation of PYR and metabolites| and urease was more sensitive to PYR with uncertain,None,6773
"""accelerating the development of CBM industrialization""","""the socio-ecological environmental problem caused by the development of coalbed methane (CBM) is becoming more serious""","""identify the main influential factors of socioecological environmental risks and take effective risk prevention measures"".",6774
Development of adaptive comanagement systems| expansion of desirable stability domains| making social-ecological systems more robust to change.,Environmental events| response to environmental feedback| need for remedial action.,Local groups| individuals| organizations| institutions| social networks.,6775
Estimating the social discount rate (SDR) using various methods (equal-sacrifice income tax approach| Euler-equation approach| Frisch additive-preferences approach| and risk aversion in insurance markets) and obtaining a meta-analysis of parameter homogeneity across,Elasticity of marginal utility (1.5),None,6776
Integrated assessment| structured process| stakeholders' perspectives| collective action,Assessment| impacts| policy choices| sustainability,Stakeholders| negotiation| integration,6777
None,None,None,6778
None,none detected,None,6779
simulation| water entry| lifeboat launch model| impact theory,falling| injury| risk of injury,occupants| people involved in the design and testing of lifeboats| researchers studying hydrodynamics and impact.,6780
Study on co-scheduling of Three Gorges Project (TGP) and Gezhouba Project (GP) to create suitable environmental conditions for gonadal development of adult fish.,Unknown impact of hydrological changes on gonad development of the fish.,Adult fish with gonads at stages III and IV| possibly affected by hydrological changes.,6781
development of an alternative energy supply system| including the shift to alternative sources of energy.,wear and tear of energy systems| potential failure| blackouts| reduced energy delivery.,consumers| energy system producers/deliverers| researchers (as authors of the paper proposing wavelet transform for risk prediction).,6782
Analyzing forest degradation and carbon emissions due to selective logging in a Forest Reserve of the Venezuelan Amazon.,Altering forest structure and function| losing aboveground carbon.,The researchers conducting the study| who lacked reduced impact logging guidelines contributing to pervasive effects reflected in a mean reduction of similar to 35% of the aboveground carbon,6783
None,None,None,6784
None,None,None,6785
None,None,None,6786
"""local aptitudes for green-energy self-sustainability""",None,"""local governments""",6787
Intermodal Network Expansion Decisions| Freight Flow Assignment Problem| Pricing Sub-Problems,Expansion| Budget| Time Window Constraints,Railroad Operators,6788
None,None,None,26000
Experiment for the determination of the dustiness of Carbon Nanotubes (CNT) and Carbon Nanofibres (CNF).,None,None,6790
None,None,None,6792
Agricultural landscape conservation,Decline in biodiversity due to agricultural practices,Farmers| policymakers| environmentalists,6793
Assessment| application| policy,Framework| evaluation| management,Dispersal| estimation| investigation,6794
The emissions of ammonia| hydrogen sul,Ammonia and hydrogen sulfide are hazardous substances that are regulated by the U.S. Environmental Protection Agency through community right-to-know legislation (EPCRA| EPA| 2011). This suggests that exposure to these substances could pose a health risk to people in the surrounding area.,None,6795
None,None,None,6796
None,None,None,6797
None,Uncertainty: The future operating conditions of the sanitation services are highly uncertain.,None,6798
Climate change mitigation measures,Agricultural greenhouse gas emissions,Farmer,6799
Responding to socio-environmental disasters| studying the nexus between social conflicts and disasters| utilizing high-intensity conflict scenarios as an analytical category.,Disaster response| conflict| high-intensity conflict| earthquakes| droughts| hurricanes.,Aid and society actors (humanitarians,6800
3D resection,none identified in the given,None,6801
Evaluating the impacts of reduction in chemical inputs use on the Italian agricultural sector.,Lower use of chemicals could lead to negative socio-economic and productive impacts| such as income loss for some types of farming and smaller farms.,Policy support and innovation in agriculture| as well,6803
construction project| sustainable development strategy| project life cycle| etc.,delays in project implementation| cost overruns| lack of resources| poor communication among team members| unexpected changes in project scope| etc.,professionals in the construction industry| policymakers| environmental groups| community leaders| etc.,6804
Suspensions of motor vehicle cane (defined),Estimating the risk (obliged)| methods of determining the risk (various)| current development of IT tools allowing creation of new applications (ever newer),None,6805
Coastal land subsidence prevention and treatment implementation program,Over-pumping of groundwater around densely concentrated coastal fish ponds (primary cause of coastal land subsidence),None,6806
None,None,None,6807
None,None,None,6808
"""visual representations of disability""","""disability culture movements""","""dominant cultural understandings of sex""",6809
mobile emergency response information system (MERIS).,inconvenience in reporting emergency scenarios for construction workers| difficulty in confirming emergency scenarios for construction managers.,construction workers| construction managers.,6810
Dynamic traffic simulation (DTS) becoming increasingly popular.,None,Transportation engineers| practitioners| and researchers.,6811
None,None,None,6812
installation of tactile ground surface indicators along roadways in Japan| recent studies of voice guidance along sidewalks| and providing voice guidance at intersections where two four-lane roads meet.,None,visually impaired people who use different methods to confirm their location while walking| including unchangeable features like,6813
Developmental opportunities: training and growth initiatives for employees (e.g,"Safety concerns: potential hazards in the workplace (e.g., unsafe working conditions, lack of proper equipment)|Social risks: impact of organizational culture on employee well-being and motivation (e.g., bullying, harassment, discrimination)",None,6814
None,Tensions and challenges faced by the MPC movement (e.g.| lack of buy-in from practitioners| limited empirical evidence| etc.),Practitioners and schol,6815
None,"""loss of ecological lands"" and ""loss of agricultural productivity potential""",None,6816
Simulation of the future state of the forest ecosystem using the forest landscape model LandClim| driven by climate data from three general circulation models. This includes analyzing the effects of different management scenarios on the forest biomass,Climate change| which is predicted to have a significant impact on the forest ecosystem| including increased temperatures| altered precipitation patterns| and rising sea levels.,None,6817
None,None,None,6818
Outlining various types of organization-stakeholder relationships| managing CSR hierarchically within organizations| contributing to ethical theory.,Organizational management| ethical consumerism| corporate social responsibility (CSR)| value conflicts| moral judgment.,Individuals requiring moral judgment in applying codes| resolving conflict and dilemmas within the wider system of,6819
None,None,None,6820
None,Storm| wave height| survival condition,None,56
measurement techniques| life prediction model| experimentation with different types of specimens,fatigue behaviour| welded structures| weak points,people involved in the project| such as those who conducted the experiments (e.g.| researchers| technicians),6822
None,Difficulty realizing behavioral changes| policy measures failing to achieve intended impact.,Experts with backgrounds in social psychology| behavioral economics| and transport policy analysis.,6823
Methodology| Approach| Selection| Improvement| Techniques| Areas| Multicriteria| Decision Model,Quantification| Success| Measurement| Outputs| Policy| Operations| Freeway| Criteria| Decision Making,Authorities| Organizations| Users| Policies,6824
"""Influence of Pollution on Aerosols and Cloud Microphysics in North China"" (IPAC-NC)| which investigated the impact of pollution on aerosols and cloud micro",pollution emissions from urban and industrial centers tend to accumulate in the lower atmosphere over the central area of Huabei| leading to enhanced levels of OH and HO2 radicals and significant ozone production.,None,6825
measure (verb)| project (noun),None,experts (plural noun)| focus group (phrase),6826
None,None,None,6827
seismic upgrading| Highway A,earthquake| viaducts,None,24
None,None,SPEA (Seismic Performance Evaluation and Assessment),6828
York Ground Water Recharge Project| designed to reduce herbicide inputs into Recharge Lake.,Herbicides in surface and groundwater| potential health risks for humans and wildlife.,Farmers who use atrazine for crop protection| water treatment plants and utilities responsible for managing and treating water| environmental organizations advocating for sustainable agricultural practices,6829
None,None,None,6830
Rosia Montana mining project.,Environmental pollution| use of cyanide in mining process.,Decision makers| specialists in chemical engineering| mining industry suppliers.,6831
contrastive experiments,None,None,6832
None,None,None,6833
Academic debate| shifting position of homeowners| connecting macro-level and micro-level arguments| making connections between different levels of analysis| contributing to increase homeowner awareness of their changing responsibilities| integrating homeowner responsibilities into climate adaptation strategies.,Flood risk| homeowners| flood protection| flood risk management,Homeown,6834
sediment management and remediation project,pier| wharf| dock,regulatory agencies| property owners| environmental groups,6835
Selection| positioning| improvement| system safety| cost efficiency| optimization.,Safety barriers| accident scenarios| risk reduction| bow tie diagrams.,Decision makers| risk analysts| engineers| plant operators| regulators.,6836
Investigating the environmental performance of a combined low-pressure exhaust gas recirculation (EGR) and seawater scrubbing system onboard an LPG carrier operated on high-sulfur HFO.,Excessive pollution of ambient water in terms of arsenic| copper| and molybdenum.,Individuals or groups,6837
South-North Water Transfer Project (SNWTP),financial| ecological| social trade-offs,Chinese government officials| people living in North China Plain,6838
experimental firing of pyrite ore samples to simulate a roasting process.,release of toxic heavy metals| including Thallium (Tl)| during the roasting process.,coal-fired power stations| cement or sulfuric acid production industry involving pyrite roasting processes| steel| brick or paint industries using iron ore from roasted pyrite ash,6839
Biogas production (110%)|Gross receipts (tripled),"Substrate effects (45.36%, 55.28%, 67.72%)",Farmers (directly due to substrate supplementation - 72%),6840
"Bee development: ""date for adult emergence (female and male) in spring,"" ""date for completion of egg and larval development,"" and ""duration for the development"" are all","Exposure to pests: ""the significantly longer duration of bee development under future climate change could pose a risk to the bee due to the longer period of being exposed to its pests.""",None,6841
evaluation of earthquake hazard mitigation project for Klamath County.,earthquake-induced rock falls and slides are of great concern to the city of Klamath Falls in southern Oregon. Some sections of slopes along US highway 97 and Oregon highway 140 in the study area have extremely high sus,None,6842
None,Climate change-induced environmental damage| including coastal hazards and erosion| which could lead to decreased resilience and ecosystem services.,Developing countries,6843
development of a new prosthetic for impaired neuronal functions using nanocomposites of elastic ferrocenyl-containing silicone rubber (EFSR) and multi-walled carbon nanotubes (MWCNT),None,None,6844
Examining the information channels used by public and nonprofit organizations to communicate disaster risk information to Colonias residents in Hidalgo County| Texas.,TV| radio| public events| and bilingual staff,Public and nonprofit organizations.,6845
implementation of new equipment maintenance business models| proposals for a new prescriptive maintenance business model| linking internal and external stakeholders| adoption of different perspectives (organizational| innovation| sustainability)| potential social value gain| alignment with,digitalisation| data-driven approach| new maintenance innovations| organizational approach| integration,None,6846
None,None,None,6847
None,none found,"""the results showed that the displacement of the bridge girder under earthquakes can be effectively reduced by selecting the appropriate damping coefficient and velocity index of the nonlinear viscous damp",6848
None,Floods| disruptions| interdependent infrastructure| economic sectors| etc.,Policy makers| disaster management authorities| health departments| etc.,6849
New charges scheme| comparison between old and new regimes| case study on selected Italian corridors| application of DEA| evaluation framework| identification of benefits and losses| perspectives of stakeholders.,Market orientation| cost orientation| deep market segmentation| ability to pay| data envelopment analysis| efficiency| ranking| standpoints of stakeholders.,,6850
D2D communication,unstable performance due to spectrum reuse| low expectations among users| frequent mode switching| and severe network congestion,users| operators,6851
None,None,None,6852
"Written agreements: Only 9% of parents reported having a written parent-teen driving agreement, either currently or in the past.","Restrictions: 80% of parents reported having restrictions for their teen driver regarding safety belts, drinking and driving, cell phones, and text messaging while driving.",None,6853
Expansion of Albanian businesses into foreign markets,Lack of appropriate criteria for recruitment,Consumers or other stakeholders speed up changes influencing markets (late response),6854
None,None,None,6855
Analyzing the effects of sub-city-level density of economic activity on wages using a geocoded dataset on employment and wages in the city areas of Sweden. This project involves studying,Doubling of density is associated with wage increases of 1.2%| which suggests that analyzing the effects of sub-city-level density of economic activity on wages carries some risks.,None,6856
Early planning in many cases is not performed well in new product development (NPD).,None,The findings also indicate that the number of groups moderates the relationship between requirement quality & stability and project performance. (C) 2014 Elsevier Ltd. APM and IPMA. All rights reserved.,6857
Development of new types of work and work processes to adapt to market changes,Automation leading to decreased administrative tasks,"Organizations supporting the study through various methods (e.g., research partnerships, data collection)",6858
"answer in one line - ""IT sector""","answer less than 5 words - ""underrepresentation of women""","answer in one line - ""men and women""",6859
Evaluating the credit of high-tech enterprises using Rough-Set Theory and Cloud Theory.,Computing the power of each indicator used in evaluating credit (e.g.| financial ratios| market trends).,High-tech enterprises in a specific city| as well as their customers| investors| and regulatory bodies.,6861
ECORS project,None,None,6862
None,None,None,6863
benefit-cost analysis (BCA).,None,California Department of Transportation (Caltrans)| Office of Transportation Economics (OTE).,6864
model calibration strategies and evaluation methods for predicting stream flow from ungauged basins,none detected,None,6865
developing a method for valuing hedgerows,heavy amenity use on the 3000 km canal network,British Waterways| landowner,6866
development of a credit risk model,credit risk| rate of interest,None,6867
None,None,None,6868
None,None,None,6869
PlastiCircle is a project funded by the European Union's Horizon 2020 research and innovation program to improve the recycling of packaging| reduce waste| and promote responsible consumption.,Recycling of plastic packaging waste is at risk due to low recycling rates in Europe (42%).,The main objective of the present,6870
improvement of soil health through organic farming practices,none detected,farmers| researchers| policymakers interested in sustainable agriculture practices,6871
None,None,None,6872
None,None,None,6873
None,None,None,6874
None,None,None,6875
None,None,None,6876
None,None,None,6877
repair of tunnels,gap grouting| non-destructive testing,None,6878
None,None,None,6879
"Analyzing 108 fall fatalities in Malaysia from 2010 to 2018 to find critical, relevant variables.",Fall-related accidents cause severe injuries and deaths in the construction industry.,Construction laborers are the most affected trade workers.,6880
The study aimed to assess the chronic toxicity,Carbamazepine (CBZ) and its metabolites have the potential to cause adverse effects on the environment and human health| particularly through their impact on sediment dwelling organisms such as the non-biting midge Chironomus riparius. These risks could lead to long-term consequences for the environment and public health.,None,6881
The paper aims to examine the work of the Danish architect Jorn Utzon (Copenhagen| 1918-2008) focusing in particular on the poetics of construction he developed throughout his career.,none detected,Utzon's oeuvre is relatively scanty but consistent| and it is characterized by large structural sp,6882
None,None,None,6883
Developed methods to determine the level of vulnerability of,Lack or thin layer of covering deposits| high groundwater velocities| deeply flowing groundwater with many faults and fault zones| pits to groundwater| concentrated sinking| and large karst springs make these aquifers extremely vulnerable to anthropogenic influences| which are quickly transmitted to the aquifer.,None,6884
Collecting basic data sets for understanding the MR regime and sediment-related disasters.,"High hourly MR intensities were mainly observed as rain during the non-snow cover period, but the annual maximum daily MR often occurred during the snow cover period.",People living in the mountainous region in the north-central part of Japan.,6885
installing earthquake early warning system (EEWS)| reducing the risk of such disasters,earthquake| strong threats| damages| secondary disasters,people living in areas prone to earthquakes| emergency responders| scientists| engineers,6886
None,None,None,6887
None,None,None,6888
None,None,None,6889
"""enhancing the sustainability of small and medium enterprises (SMEs)"" - this could be considered a project as it involves improving something (in this case| the sustainability of SMEs) over time.",None,"""representatives of",6890
Developing predictive models for estimating soil Pb concentrations using geostatistical approaches such as ordinary kriging (OK)| co-kriging (CoK)| and probability krig,Exposure to lead (Pb) from soil and dust in urban areas threatens human health| particularly children's health due to their higher intake of Pb through contaminated soil.,None,6891
urban freight transport,None,None,6892
overseeing the selection of research projects| providing reliable technical assessments of potential mergers and acquisitions| promoting the company's reputation and capturing valuable data.,None,CE,6893
Mapping four themes of social vulnerability| comparing mean scores| identifying clusters| mapping LISA results.,Disaster or disturbance| limited empirical examination| spatial patterns.,People| communities| organizations| policymakers| researchers.,6894
presentation of the current situation in socially responsible behavior in sports clubs| including analysis of CSR activities and sponsorship issues.,none detected,sponsors| particularly those from socially sensitive sectors such as sports goods producers and gambling operators.,6895
Urban rail projects,High variation in costs due to factors such as ground conditions| station spacing| type of rolling stock| environmental and safety constraints| and labor costs.,Policy makers| cost-benefit analysts| and other target groups involved in cost estimations.,6896
"""hot-mix asphalt (HMA) paving projects""",None,"""contractors and agencies""",6897
"""slope engineering""","""landslides""| ""failure rate of engineered slopes""","""engineers""| ""residents""",6898
development and deployment of best practices for project security on industrial projects,physical| personnel| and information security dimensions| linked to threats| consequences| and vulnerability assessment,industry best practices providers| including six selected practices for integrating security into the project delivery process.,6899
Ariane 5 development,orbital debris| uncontrolled reentry| payload pollution| collision risks,Space agencies| satellite operators| research institutions,6900
development of a one-dimensional mathematical model to calculate pavement near-surface temperatures (hourly measured solar radiation| air temperature| dew-point temperature| and wind velocity data were used),None,humans (road users)| as well as the ability to mitigate heat absorption and high surface,6901
leaderless group discussions and long-term project teams,none detected,participants in both studies (students).,6903
"Decarbonizing homes: ""decarbonising homes is conceived to be an outcome of top-down infrastructural interventions,""","Energy intensity: ""over the last three decades""","Householders (end users): ""householders (or end users)""",6904
None,None,None,6905
Identifying effective green supply chain management practices for Thai electronics industry| exploring relationships between GSCM practices and business performances| guiding improvements in environmental| competitive| operational| and economic areas.,Environmental impact| compliance with regulations| cost savings from sustainable practices.,Senior managers| electronics firms,6906
INGER (integrating gender into environmental health research),lacking| especially within environmental risk assessment,interdisciplinary team of the collaborative research project INGER (integrating gender into environmental health research),6907
"Integral to rural life and livelihoods (flood cycle, transportation, soil fertility, fish migrations)",Devastating impacts (flood extremes),Riverine populations (local populations during extreme floods),6908
"Numerical models: ""new, more accurate and realistic numerical models""","Vertical loads: ""vertical loads""","Research community: ""the disconnection between fields has not facilitated this further research""",6909
"The phrase ""engaging with landscapes"" suggests a proactive approach to understanding and interpreting these spaces, rather than simply observing or passing by them. This could involve a variety of projects, such as",Landscapes,None,6910
Using non-conventional industrial wastes as a replacement for raw materials in concrete,Disposal of large quantities of byproducts from industrialization,Saw-dust ash and pulverized waste LDPE were introduced as the partial replacement for cement and fine aggregates respectively.,6911
Estimation of unintentional dietary exposure to CECs among the Israeli population through consumption of different types of produce. Data was collected from a national health survey and used to conduct human health risk,Exposure to contaminants of emerging concern (CECs) through consumption of produce irrigated with reclaimed wastewater. Hazard quotients were calculated to assess the potential health risks.,None,6912
None,None,None,6913
Calculation of risk costs per unit of exposure for major hazardous materials releases involving railroad transportation.,Incremental costs incurred by railroads as a result of the presence of hazardous materials| expressed on a per unit of exposure basis. (Five to ten times greater than other commodities| and 100 to 200 times greater,None,6914
Increasing rolling stock reliability,Persistent high failure rate of power modules| which could lead to costly repairs or replacement and loss of revenue due to locomotives being taken out of service.,Amtrak personnel| reliability consultants| and the original equipment manufacturers involved in the RCA project.,6915
acceleration of the Product Development (PD) process and improvement of its value,none detected,None,6916
Quantitative review of non-wood forest products (NWFPs) at the regional scale in Europe.,none detected,local socioeconomic improvement was one of the major aspects investigated in scientific literature.,6917
Baltic Ecological Recycling Agriculture and Society Implementation (BERAS),None,partner institutions| farmers| environmental organizations| local communities| etc.,6918
E-GIS,None,full time students| private and civil service employees within the EU| but also similar categories in non-EU countries.,6919
Energy projects can be affected by the decline of CH4 content in landfill gas.,Air inflow into the landfill can reduce CH4 productivity.,The study involved analyzing air inflow rates and LFG characteristics from 699 vertical collection facilities (VCFs) in the second landfill at the Sudokwon Landfill in South Korea.,6920
Using augmented reality to support the diagnosis of faults involving remote experts.,Unplanned maintenance operations| Aircraft On Ground (AOG) situation,Maintenance Control Centres| remote experts| airlines| and the actors involved in aircraft maintenance.,6921
The study estimates the changes in spatiotemporal characteristics of soil moisture drought events under increased global mean temperature| comparing 1.5C and 3C scenarios. The research projects that global warming will lead to,Drought events| including multi-year and exceptional droughts| which could pose serious threats to food security in North Africa and the Sahel region.,None,6922
Collecting injury death data and daily meteorological data from six Chinese provinces during 2013-2018| using a time-stratified case-crossover design with two-stage analytic approach to assess the associations of CI lis with,Climate change| compound hot extremes| daytime and nighttime persistent hot extremes| and their impact on human health.,None,6923
weather derivatives,basis risk,farmers| meteorological stations| insurance companies,6924
Flood inundation maps| climate change considerations| GIS mapping software,Disaster risk management| flood risk maps| loss reduction,Communities| ecosystems| riverside residents,6925
development of fragility curves for concrete bridges in California| comparison of analytical results with nonlinear time history analysis.,earthquake event| seismic hazard| damagesustained by individual components| etc.,engineers| researchers| policymakers| infrastructure owners| etc.,6926
investment projects aiming at the development of their area (e.g.| building drinking water supply| sewerage systems| or waste water treatment plants),lack of possibility to finance larger investment projects due to the settlement structure of the Czech Republic (e.g.| limited financial resources),municipalities (e.g.| joining into,6927
Implementation of Information Technology (IT) to improve business performance| development of a research model called New Information Economics (NIE)-System Development Life Cycle (SDLC)| conducting qualitative research using descriptive interviews and surveys| etc.,Absence of a planning model and adequate training| rapid change in technology| existence of existing systems| etc.,Management,6928
Investigating the impacts of street layout on the frequency of pedestrian crashes.,Pedestrian safety| vulnerability to severe injury and mortality in road crashes| and the factors that affect the safety of pedestrians.,Pedestrians| drivers| traffic authorities| urban planners| and policymakers.,6929
None,None,None,6930
None,None,None,6931
None,None,None,6932
cycle tourism development in Northern Italy,none detected,local destination stakeholders (including communities| tour operators| accommodation providers| etc.),6933
Deforestation,Fire,None,6934
None,None,None,6935
DISCOVER-AQ campaign,frequent wintertime PM standard violation over San Joaquin Valley (SJV) and its vicinities,policy makers| regulators| air quality modelers,6936
efficient acquisition of laser point clouds| quantitative evaluation of slope deformation using ICP algorithm,slope collapse| heavy rain,inspection engineers,6937
Development of resource-type regions| search for new directions of development| formation of new technological chains| intensification of deposit development| financial support from the Russian Scientific Foundation (RSF) project.,Natural resources| resource curse| resource dependence,Authors| enterprises of the machine-building industry| Russian,6938
Analyzing driver injury severities in rear-end crashes,Driver injury severities classified into three categories,Traffic system safety performance improvement through effective countermeasures.,6939
Large-scale natural resource conservation initiatives.,Ecological| social| and political challenges of contemporary environmental governance.,Resource managers| special interest groups| and emerging stakeholders (e.g.| local communities| indigenous peoples).,6940
"""design achievements""",None,"""National Park Service""| ""Historic American Engineering Record""| ""management""| ""planning""| ""preservation""| ""public outreach""",6941
energy planning| stakeholder preferences| mapping model| PDP (Thailand Power Development Plan),expansion| planning| energy production| public acceptance,integrating views of stakeholders| minimizing personal bias,6942
None,None,None,6943
Numerous road construction projects (project),Little attention has been paid to the use of local resources (risk),"Highway engineers, technicians, and supervisors in developing countries (stakeholder)",6944
None,None,None,6945
None,None,None,6946
Outdoor education programs,Inadequate risk assessment| lack of consistency in identifying and assessing potential hazards| overlooking key risks from a systems perspective.,Schools| students| teachers| parents| outdoor education providers.,6947
A new drainage inlet design surrounded by porous asphalt called Efficient Grate Inlet (EGI).,Flooding| excessive hazards to pedestrians and motorists| diminished roadway durability| safety| and efficiency.,The authors of the paper| civil engineers| roadway maintenance personnel| and anyone interested in improving,6948
Airborne transmission of diseases and associated risks of epidemics or pandemics.,Elevated risks of airborne transmission of diseases| need for multidisciplinary research| survivability of pathogens| dispersal indoors| transfer to healthy individuals.,Scientific community.,6949
development and demonstration of a residential-scale gas heat pump (GHP) for space heating,none detected,end users| efficiency advocates,6950
CDM (Clean Development Mechanism)| methodologies| emissions reduction,Complexity| uncertainty| market leakages,Decision-makers| experts,6951
Monitoring the health characteristic of a patient.,Degradation of the patient's health.,Patients treated in Hungary.,6952
Investigation of farmers' perception of climate change risks (medium risk),Dearth of evidence (high risk),Households with high risk perception (low risk)|Explanation:,6953
bridge construction,structural damage from earthquakes,engineers| scientists| government agencies involved in bridge safety regulations,6954
Identifying the unique challenges faced by women entrepreneurs in different geographic locations,"Unknown risks: The study reports on female entrepreneurship, which is a growing area of interest for academics, policymakers, and other stakeholders. However, it notes that there is limited research on the specific challenges faced by women entrepreneurs in rural areas compared to urban environments.",None,6955
